state,),-,num,/,+,(,*,$,E,T,F,
I0,0,0,s5,0,0,s4,0,0,1,2,3,
I1,0,s7,0,0,s6,0,0,acc,0,0,0,
I2,0,r3,0,s9,r3,0,s8,r3,0,0,0,
I3,0,r6,0,r6,r6,0,r6,r6,0,0,0,
I4,0,0,s14,0,0,s13,0,0,10,11,12,
I5,0,r8,0,r8,r8,0,r8,r8,0,0,0,
I6,0,0,s5,0,0,s4,0,0,0,15,3,
I7,0,0,s5,0,0,s4,0,0,0,16,3,
I8,0,0,s5,0,0,s4,0,0,0,0,17,
I9,0,0,s5,0,0,s4,0,0,0,0,18,
I10,s19,s21,0,0,s20,0,0,0,0,0,0,
I11,r3,r3,0,s23,r3,0,s22,0,0,0,0,
I12,r6,r6,0,r6,r6,0,r6,0,0,0,0,
I13,0,0,s14,0,0,s13,0,0,24,11,12,
I14,r8,r8,0,r8,r8,0,r8,0,0,0,0,
I15,0,r1,0,s9,r1,0,s8,r1,0,0,0,
I16,0,r2,0,s9,r2,0,s8,r2,0,0,0,
I17,0,r4,0,r4,r4,0,r4,r4,0,0,0,
I18,0,r5,0,r5,r5,0,r5,r5,0,0,0,
I19,0,r7,0,r7,r7,0,r7,r7,0,0,0,
I20,0,0,s14,0,0,s13,0,0,0,25,12,
I21,0,0,s14,0,0,s13,0,0,0,26,12,
I22,0,0,s14,0,0,s13,0,0,0,0,27,
I23,0,0,s14,0,0,s13,0,0,0,0,28,
I24,s29,s21,0,0,s20,0,0,0,0,0,0,
I25,r1,r1,0,s23,r1,0,s22,0,0,0,0,
I26,r2,r2,0,s23,r2,0,s22,0,0,0,0,
I27,r4,r4,0,r4,r4,0,r4,0,0,0,0,
I28,r5,r5,0,r5,r5,0,r5,0,0,0,0,
I29,r7,r7,0,r7,r7,0,r7,0,0,0,0,